final_error,settling_step,settling_time,overshoot,oscillations,singularity_detected,joint_limit_violation,max_steps_reached,unstable,cost,stopped_reason,Kp
0.677113217443277,1000,50.0,0.0,0,False,False,True,False,263.54226434886556,max_steps_reached,0.01
0.6449006167468543,1000,50.0,0.0,0,False,False,True,False,262.8980123349371,max_steps_reached,0.010974987654930561
0.6113064591806309,1000,50.0,0.0,0,False,False,True,False,262.2261291836126,max_steps_reached,0.012045035402587823
0.5764455017254154,1000,50.0,0.0,0,False,False,True,False,261.5289100345083,max_steps_reached,0.013219411484660288
0.5404671266488555,1000,50.0,0.0,0,False,False,True,False,260.8093425329771,max_steps_reached,0.014508287784959394
0.5035575576071234,1000,50.0,0.0,0,False,False,True,False,260.0711511521425,max_steps_reached,0.015922827933410922
0.4659411310171375,1000,50.0,0.0,0,False,False,True,False,259.31882262034276,max_steps_reached,0.01747528400007684
0.42788028937964784,1000,50.0,0.0,0,False,False,True,False,258.55760578759293,max_steps_reached,0.019179102616724886
0.38967394569240177,1000,50.0,0.0,0,False,False,True,False,257.79347891384805,max_steps_reached,0.02104904144512021
0.35165387674464316,1000,50.0,0.0,0,False,False,True,False,257.03307753489287,max_steps_reached,0.023101297000831605
0.31417884856657824,1000,50.0,0.0,0,False,False,True,False,256.28357697133157,max_steps_reached,0.025353644939701114
0.2776262702709128,1000,50.0,0.0,0,False,False,True,False,255.55252540541827,max_steps_reached,0.027825594022071243
0.24238132176281427,1000,50.0,0.0,0,False,False,True,False,254.8476264352563,max_steps_reached,0.030538555088334154
0.20882371060537092,1000,50.0,0.0,0,False,False,True,False,254.17647421210742,max_steps_reached,0.033516026509388425
0.17731248018968304,1000,50.0,0.0,0,False,False,True,False,253.54624960379365,max_steps_reached,0.03678379771828634
0.14816960035506005,1000,50.0,0.0,0,False,False,True,False,252.9633920071012,max_steps_reached,0.040370172585965536
0.12166339334443953,1000,50.0,0.0,0,False,False,True,False,252.4332678668888,max_steps_reached,0.044306214575838825
0.09799313722003417,1000,50.0,0.0,0,False,False,True,False,251.95986274440068,max_steps_reached,0.04862601580065353
0.07727638636194757,1000,50.0,0.0,0,False,False,True,False,251.54552772723895,max_steps_reached,0.0533669923120631
0.05954058780303112,1000,50.0,0.0,0,False,False,True,False,251.1908117560606,max_steps_reached,0.05857020818056667
0.0447203912815131,1000,50.0,0.0,0,False,False,True,False,250.89440782563025,max_steps_reached,0.06428073117284322
0.03266161106172642,1000,50.0,0.0,0,False,False,True,False,250.65323222123453,max_steps_reached,0.07054802310718646
0.023132102807502865,1000,50.0,0.0,0,False,False,True,False,250.46264205615006,max_steps_reached,0.0774263682681127
0.019933383635883307,945,47.25,0.0,0,False,False,False,False,47.648667672717664,goal_reached,0.08497534359086446
0.01991825214462461,861,43.050000000000004,0.0,0,False,False,False,False,43.4483650428925,goal_reached,0.093260334688322
0.019948911804309664,784,39.2,0.0,0,False,False,False,False,39.5989782360862,goal_reached,0.10235310218990264
0.019964677236312837,714,35.7,0.0,0,False,False,False,False,36.09929354472626,goal_reached,0.11233240329780277
0.0198856818303142,651,32.550000000000004,0.0,0,False,False,False,False,32.94771363660629,goal_reached,0.12328467394420665
0.019879653280538742,593,29.650000000000002,0.0,0,False,False,False,False,30.047593065610776,goal_reached,0.13530477745798075
0.019895632025176715,540,27.0,0.0,0,False,False,False,False,27.397912640503534,goal_reached,0.1484968262254465
0.019865722574192484,492,24.6,0.0,0,False,False,False,False,24.997314451483852,goal_reached,0.16297508346206444
0.01988003460616426,448,22.400000000000002,0.0,0,False,False,False,False,22.797600692123286,goal_reached,0.1788649529057435
0.019877865285814592,408,20.400000000000002,0.0,0,False,False,False,False,20.797557305716293,goal_reached,0.19630406500402714
0.019994966906461707,371,18.55,0.0,0,False,False,False,False,18.949899338129235,goal_reached,0.21544346900318845
0.019954446395190218,338,16.900000000000002,0.0,0,False,False,False,False,17.299088927903806,goal_reached,0.23644894126454083
0.019892214801749842,308,15.4,0.0,0,False,False,False,False,15.797844296034997,goal_reached,0.25950242113997374
0.019729022214822232,281,14.05,0.0,0,False,False,False,False,14.444580444296445,goal_reached,0.2848035868435802
0.019986699752588225,255,12.75,0.0,0,False,False,False,False,13.149733995051765,goal_reached,0.3125715849688237
0.01968943332371118,233,11.65,0.0,0,False,False,False,False,12.043788666474224,goal_reached,0.34304692863149194
0.01972219310288379,212,10.600000000000001,0.0,0,False,False,False,False,10.994443862057677,goal_reached,0.37649358067924693
0.01970281504591432,193,9.65,0.0,0,False,False,False,False,10.044056300918287,goal_reached,0.41320124001153385
0.019994427409730803,175,8.75,0.0,0,False,False,False,False,9.149888548194616,goal_reached,0.4534878508128584
0.019615114754829986,160,8.0,0.0,0,False,False,False,False,8.3923022950966,goal_reached,0.49770235643321115
0.019927984667336897,145,7.25,0.0,0,False,False,False,False,7.648559693346738,goal_reached,0.5462277217684343
0.019870066993505926,132,6.6000000000000005,0.0,0,False,False,False,False,6.997401339870119,goal_reached,0.5994842503189411
0.019909169120120366,120,6.0,0.0,0,False,False,False,False,6.398183382402407,goal_reached,0.6579332246575682
0.019278363299270986,110,5.5,0.0,0,False,False,False,False,5.8855672659854195,goal_reached,0.7220809018385468
0.019286932293627004,100,5.0,0.0,0,False,False,False,False,5.38573864587254,goal_reached,0.7924828983539177
0.01920041781348982,91,4.55,0.0,0,False,False,False,False,4.934008356269796,goal_reached,0.8697490026177834
0.019866936271309497,82,4.1000000000000005,0.0,0,False,False,False,False,4.49733872542619,goal_reached,0.9545484566618342
0.01933763201159892,75,3.75,0.0,0,False,False,False,False,4.136752640231978,goal_reached,1.0476157527896652
0.01947339063786278,68,3.4000000000000004,0.0,0,False,False,False,False,3.789467812757256,goal_reached,1.149756995397737
0.019145608077431837,62,3.1,0.0,0,False,False,False,False,3.482912161548637,goal_reached,1.261856883066021
0.019521630251377334,56,2.8000000000000003,0.0,0,False,False,False,False,3.190432605027547,goal_reached,1.384886371393873
0.0192214135964756,51,2.5500000000000003,0.0,0,False,False,False,False,2.9344282719295123,goal_reached,1.5199110829529348
0.01963842869422393,46,2.3000000000000003,0.0,0,False,False,False,False,2.6927685738844787,goal_reached,1.6681005372000592
